id,title,description,category,tags
11,Healthcare: Legacy Migration bottleneck #11,Scenario 11 (Healthcare). Sme Federations cite missing interoperability standards while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,10"
12,Education: Post-Merger Integration bottleneck #12,Scenario 12 (Education). Sme Federations cite weak outcome baselines while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,11"
13,Technology: Scale-Up bottleneck #13,Scenario 13 (Technology). Teacher Cooperatives cite fragmented funding cycles while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,12"
14,Sustainability: Post-Merger Integration bottleneck #14,Scenario 14 (Sustainability). City Innovation Offices cite vendor lock-in risk while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,13"
15,FinTech: Discovery bottleneck #15,Scenario 15 (FinTech). Provincial Regulators cite weak outcome baselines while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,14"
16,Logistics: Pilot Rollout bottleneck #16,Scenario 16 (Logistics). Sme Federations cite vendor lock-in risk while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,15"
17,Genomics: Regulatory Refresh bottleneck #17,Scenario 17 (Genomics). Sme Federations cite fragmented funding cycles while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,16"
18,Cybersecurity: Scale-Up bottleneck #18,Scenario 18 (Cybersecurity). Teacher Cooperatives cite data residency conflicts while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,17"
19,Agriculture: Regulatory Refresh bottleneck #19,Scenario 19 (Agriculture). Sme Federations cite weak outcome baselines while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,18"
20,General: Pilot Rollout bottleneck #20,Scenario 20 (General). Industry Alliances cite data residency conflicts while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,19"
21,Healthcare: Discovery bottleneck #21,Scenario 21 (Healthcare). Ngo Consortia cite fragmented funding cycles while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,20"
22,Education: Legacy Migration bottleneck #22,Scenario 22 (Education). Patient Advocacy Groups cite vendor lock-in risk while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,21"
23,Technology: Regulatory Refresh bottleneck #23,Scenario 23 (Technology). Sme Federations cite fragmented funding cycles while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,22"
24,Sustainability: Legacy Migration bottleneck #24,Scenario 24 (Sustainability). Teacher Cooperatives cite unclear procurement rules while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,23"
25,FinTech: Scale-Up bottleneck #25,Scenario 25 (FinTech). Sme Federations cite missing interoperability standards while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,24"
26,Logistics: Regulatory Refresh bottleneck #26,Scenario 26 (Logistics). Industry Alliances cite fragmented funding cycles while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,25"
27,Genomics: Legacy Migration bottleneck #27,Scenario 27 (Genomics). Sme Federations cite missing interoperability standards while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,26"
28,Cybersecurity: Legacy Migration bottleneck #28,Scenario 28 (Cybersecurity). Patient Advocacy Groups cite missing interoperability standards while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,27"
29,Agriculture: Regulatory Refresh bottleneck #29,Scenario 29 (Agriculture). Teacher Cooperatives cite talent retention in remote hubs while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,28"
30,General: Discovery bottleneck #30,Scenario 30 (General). Provincial Regulators cite unclear procurement rules while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,29"
31,Healthcare: Post-Merger Integration bottleneck #31,Scenario 31 (Healthcare). Provincial Regulators cite vendor lock-in risk while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,30"
32,Education: Discovery bottleneck #32,Scenario 32 (Education). City Innovation Offices cite data residency conflicts while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,31"
33,Technology: Pilot Rollout bottleneck #33,Scenario 33 (Technology). City Innovation Offices cite underfunded change management while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,32"
34,Sustainability: Post-Merger Integration bottleneck #34,Scenario 34 (Sustainability). Sme Federations cite talent retention in remote hubs while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,33"
35,FinTech: Pilot Rollout bottleneck #35,Scenario 35 (FinTech). Sme Federations cite talent retention in remote hubs while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,34"
36,Logistics: Regulatory Refresh bottleneck #36,Scenario 36 (Logistics). Industry Alliances cite missing interoperability standards while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,35"
37,Genomics: Regulatory Refresh bottleneck #37,Scenario 37 (Genomics). Ngo Consortia cite talent retention in remote hubs while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,36"
38,Cybersecurity: Scale-Up bottleneck #38,Scenario 38 (Cybersecurity). Teacher Cooperatives cite weak outcome baselines while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,37"
39,Agriculture: Post-Merger Integration bottleneck #39,Scenario 39 (Agriculture). University Labs cite weak outcome baselines while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,38"
40,General: Discovery bottleneck #40,Scenario 40 (General). Teacher Cooperatives cite missing interoperability standards while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,39"
41,Healthcare: Scale-Up bottleneck #41,Scenario 41 (Healthcare). Patient Advocacy Groups cite unclear procurement rules while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,40"
42,Education: Post-Merger Integration bottleneck #42,Scenario 42 (Education). Sme Federations cite underfunded change management while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,41"
43,Technology: Legacy Migration bottleneck #43,Scenario 43 (Technology). Patient Advocacy Groups cite missing interoperability standards while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,42"
44,Sustainability: Legacy Migration bottleneck #44,Scenario 44 (Sustainability). Ngo Consortia cite talent retention in remote hubs while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,43"
45,FinTech: Post-Merger Integration bottleneck #45,Scenario 45 (FinTech). University Labs cite weak outcome baselines while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,44"
46,Logistics: Scale-Up bottleneck #46,Scenario 46 (Logistics). Sme Federations cite vendor lock-in risk while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,45"
47,Genomics: Post-Merger Integration bottleneck #47,Scenario 47 (Genomics). Teacher Cooperatives cite unclear procurement rules while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,46"
48,Cybersecurity: Regulatory Refresh bottleneck #48,Scenario 48 (Cybersecurity). Ngo Consortia cite unclear procurement rules while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,47"
49,Agriculture: Discovery bottleneck #49,Scenario 49 (Agriculture). Sme Federations cite vendor lock-in risk while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,48"
50,General: Regulatory Refresh bottleneck #50,Scenario 50 (General). City Innovation Offices cite talent retention in remote hubs while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,49"
51,Healthcare: Pilot Rollout bottleneck #51,Scenario 51 (Healthcare). Ngo Consortia cite talent retention in remote hubs while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,50"
52,Education: Legacy Migration bottleneck #52,Scenario 52 (Education). Industry Alliances cite weak outcome baselines while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,51"
53,Technology: Legacy Migration bottleneck #53,Scenario 53 (Technology). Provincial Regulators cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,52"
54,Sustainability: Pilot Rollout bottleneck #54,Scenario 54 (Sustainability). Patient Advocacy Groups cite talent retention in remote hubs while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,53"
55,FinTech: Legacy Migration bottleneck #55,Scenario 55 (FinTech). Sme Federations cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,54"
56,Logistics: Legacy Migration bottleneck #56,Scenario 56 (Logistics). Ngo Consortia cite underfunded change management while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,55"
57,Genomics: Legacy Migration bottleneck #57,Scenario 57 (Genomics). Sme Federations cite missing interoperability standards while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,56"
58,Cybersecurity: Post-Merger Integration bottleneck #58,Scenario 58 (Cybersecurity). Industry Alliances cite missing interoperability standards while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,57"
59,Agriculture: Pilot Rollout bottleneck #59,Scenario 59 (Agriculture). City Innovation Offices cite missing interoperability standards while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,58"
60,General: Regulatory Refresh bottleneck #60,Scenario 60 (General). Patient Advocacy Groups cite weak outcome baselines while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,59"
61,Healthcare: Regulatory Refresh bottleneck #61,Scenario 61 (Healthcare). Ngo Consortia cite unclear procurement rules while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,60"
62,Education: Pilot Rollout bottleneck #62,Scenario 62 (Education). Patient Advocacy Groups cite vendor lock-in risk while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,61"
63,Technology: Post-Merger Integration bottleneck #63,Scenario 63 (Technology). Industry Alliances cite vendor lock-in risk while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,62"
64,Sustainability: Scale-Up bottleneck #64,Scenario 64 (Sustainability). Industry Alliances cite talent retention in remote hubs while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,63"
65,FinTech: Scale-Up bottleneck #65,Scenario 65 (FinTech). Provincial Regulators cite weak outcome baselines while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,64"
66,Logistics: Discovery bottleneck #66,Scenario 66 (Logistics). City Innovation Offices cite underfunded change management while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,65"
67,Genomics: Regulatory Refresh bottleneck #67,Scenario 67 (Genomics). Provincial Regulators cite underfunded change management while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,66"
68,Cybersecurity: Post-Merger Integration bottleneck #68,Scenario 68 (Cybersecurity). Provincial Regulators cite data residency conflicts while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,67"
69,Agriculture: Pilot Rollout bottleneck #69,Scenario 69 (Agriculture). Industry Alliances cite data residency conflicts while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,68"
70,General: Discovery bottleneck #70,Scenario 70 (General). Teacher Cooperatives cite data residency conflicts while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,69"
71,Healthcare: Discovery bottleneck #71,Scenario 71 (Healthcare). City Innovation Offices cite missing interoperability standards while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,70"
72,Education: Discovery bottleneck #72,Scenario 72 (Education). Industry Alliances cite missing interoperability standards while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,71"
73,Technology: Regulatory Refresh bottleneck #73,Scenario 73 (Technology). Patient Advocacy Groups cite underfunded change management while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,72"
74,Sustainability: Post-Merger Integration bottleneck #74,Scenario 74 (Sustainability). City Innovation Offices cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,73"
75,FinTech: Post-Merger Integration bottleneck #75,Scenario 75 (FinTech). University Labs cite fragmented funding cycles while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,74"
76,Logistics: Regulatory Refresh bottleneck #76,Scenario 76 (Logistics). Provincial Regulators cite underfunded change management while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,75"
77,Genomics: Regulatory Refresh bottleneck #77,Scenario 77 (Genomics). Industry Alliances cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,76"
78,Cybersecurity: Scale-Up bottleneck #78,Scenario 78 (Cybersecurity). City Innovation Offices cite weak outcome baselines while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,77"
79,Agriculture: Scale-Up bottleneck #79,Scenario 79 (Agriculture). Patient Advocacy Groups cite data residency conflicts while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,78"
80,General: Scale-Up bottleneck #80,Scenario 80 (General). Teacher Cooperatives cite underfunded change management while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,79"
81,Healthcare: Discovery bottleneck #81,Scenario 81 (Healthcare). Patient Advocacy Groups cite vendor lock-in risk while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,80"
82,Education: Discovery bottleneck #82,Scenario 82 (Education). Provincial Regulators cite talent retention in remote hubs while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,81"
83,Technology: Discovery bottleneck #83,Scenario 83 (Technology). Provincial Regulators cite unclear procurement rules while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,82"
84,Sustainability: Post-Merger Integration bottleneck #84,Scenario 84 (Sustainability). Patient Advocacy Groups cite data residency conflicts while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,83"
85,FinTech: Legacy Migration bottleneck #85,Scenario 85 (FinTech). Ngo Consortia cite underfunded change management while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,84"
86,Logistics: Legacy Migration bottleneck #86,Scenario 86 (Logistics). Teacher Cooperatives cite vendor lock-in risk while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,85"
87,Genomics: Regulatory Refresh bottleneck #87,Scenario 87 (Genomics). University Labs cite talent retention in remote hubs while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,86"
88,Cybersecurity: Post-Merger Integration bottleneck #88,Scenario 88 (Cybersecurity). City Innovation Offices cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,87"
89,Agriculture: Pilot Rollout bottleneck #89,Scenario 89 (Agriculture). University Labs cite unclear procurement rules while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,88"
90,General: Scale-Up bottleneck #90,Scenario 90 (General). Sme Federations cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,89"
91,Healthcare: Scale-Up bottleneck #91,Scenario 91 (Healthcare). Ngo Consortia cite missing interoperability standards while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,90"
92,Education: Post-Merger Integration bottleneck #92,Scenario 92 (Education). City Innovation Offices cite data residency conflicts while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,91"
93,Technology: Regulatory Refresh bottleneck #93,Scenario 93 (Technology). Patient Advocacy Groups cite unclear procurement rules while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,92"
94,Sustainability: Regulatory Refresh bottleneck #94,Scenario 94 (Sustainability). University Labs cite fragmented funding cycles while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,93"
95,FinTech: Pilot Rollout bottleneck #95,Scenario 95 (FinTech). Ngo Consortia cite weak outcome baselines while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,94"
96,Logistics: Pilot Rollout bottleneck #96,Scenario 96 (Logistics). Industry Alliances cite underfunded change management while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,95"
97,Genomics: Scale-Up bottleneck #97,Scenario 97 (Genomics). Patient Advocacy Groups cite fragmented funding cycles while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,96"
98,Cybersecurity: Post-Merger Integration bottleneck #98,Scenario 98 (Cybersecurity). Sme Federations cite data residency conflicts while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,97"
99,Agriculture: Pilot Rollout bottleneck #99,Scenario 99 (Agriculture). Teacher Cooperatives cite talent retention in remote hubs while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,98"
100,General: Discovery bottleneck #100,Scenario 100 (General). Patient Advocacy Groups cite weak outcome baselines while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,99"
101,Healthcare: Regulatory Refresh bottleneck #101,Scenario 101 (Healthcare). Ngo Consortia cite missing interoperability standards while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,0"
102,Education: Scale-Up bottleneck #102,Scenario 102 (Education). Industry Alliances cite talent retention in remote hubs while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,1"
103,Technology: Discovery bottleneck #103,Scenario 103 (Technology). University Labs cite data residency conflicts while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,2"
